town,fips,population,gap,total_aid,allocation
Andover,901301080,3272,16,196320,60
Ansonia,900901220,18959,734,815237,43
Ashford,901501430,4259,291,259799,61
Avon,900302060,18421,-631,699998,38
Barkhamsted,900502760,3705,-95,222300,60
Beacon Falls,900903250,6055,65,302750,50
Berlin,900304300,20610,-207,1215990,59
Bethany,900904580,5531,-183,326329,59
Bethel,900104720,19372,-85,774880,40
Bethlehem,900504930,3501,-265,192555,55
Bloomfield,900305910,20819,159,2456642,118
Bolton,901306260,4952,-36,272360,55
Bozrah,901106820,2622,-44,277932,106
Branford,900907310,28225,-319,1185450,42
Bridgeport,900108070,147612,1168,23027472,156
Bridgewater,900508210,1675,-1800,139025,83
Bristol,900308490,60570,428,4724460,78
Brookfield,900108980,17055,-658,528705,31
Brooklyn,901509190,8254,327,619050,75
Burlington,900310100,9576,-138,344736,36
Canaan,900510940,1195,-805,261705,219
Canterbury,901512130,5088,237,259488,51
Canton,900312270,10345,-227,320695,31
Chaplin,901513810,2262,416,280488,124
Cheshire,900914160,29250,-112,5908500,202
Chester,900714300,4316,-193,250328,58
Clinton,900715350,13129,-334,590805,45
Colchester,901115910,16192,158,518144,32
Colebrook,900516050,1445,-292,148835,103
Columbia,901316400,5454,-62,223614,41
Cornwall,900517240,1398,-2159,192924,138
Coventry,901317800,12419,121,422246,34
Cromwell,900718080,14113,19,451616,32
Danbury,900118500,83784,198,8294616,99
Darien,900118850,21689,-3782,563914,26
Deep River,900719130,4571,-296,283402,62
Derby,900919550,12768,632,1876896,147
Durham,900720810,7348,-231,396792,54
East Granby,900322070,5212,-266,1547964,297
East Haddam,900722280,9127,-139,383334,42
East Hampton,900722490,12874,-34,502086,39
East Hartford,900322630,51033,740,6021894,118
East Haven,900922910,29044,343,1306980,45
East Lyme,901123400,19140,-321,1607760,84
East Windsor,900324800,11423,112,685380,60
Eastford,901521860,1734,43,197676,114
Easton,900123890,7631,-1132,297609,39
Ellington,901325360,15795,73,616005,39
Enfield,900325990,44626,321,3703958,83
Essex,900726270,6612,-1063,317376,48
Fairfield,900126620,61347,-885,4355637,71
Farmington,900327600,25627,-517,3946558,154
Franklin,901129910,1984,-95,144832,73
Glastonbury,900331240,34754,-317,903604,26
Goshen,900532290,2914,-1328,241862,83
Granby,900332640,11310,-78,373230,33
Greenwich,900133620,62610,-5110,2066130,33
Griswold,901133900,11916,376,464724,39
Groton,901134250,40167,-61,3293694,82
Guilford,900934950,22413,-641,627564,28
Haddam,900735230,8333,-291,408317,49
Hamden,900935650,61422,336,5159448,84
Hampton,901536000,1859,204,202631,109
Hartford,900337070,124705,1330,52126690,418
Hartland,900337140,2129,126,221416,104
Harwinton,900537280,5531,-144,243364,44
Hebron,901337910,9564,70,267792,28
Kent,900540290,2910,-1334,276450,95
Killingly,901540500,17172,369,1493964,87
Killingworth,900740710,6490,-350,369930,57
Lebanon,901142390,7309,111,358141,49
Ledyard,901142600,15121,249,1723794,114
Lisbon,901143230,4342,63,199732,46
Litchfield,900543370,8264,-497,437992,53
Lyme,901144210,2389,-2147,162452,68
Madison,900944560,18259,-1145,985986,54
Manchester,900344700,58106,375,4241738,73
Mansfield,901344910,25977,730,7948962,306
Marlborough,900345820,6430,35,225050,35
Meriden,900946520,60293,607,4401389,73
Middlebury,900946940,7591,-357,318822,42
Middlefield,900747080,4424,-92,424704,96
Middletown,900747360,47043,306,11384406,242
Milford,900947535,53358,161,3841776,72
Monroe,900148620,19867,-210,695345,35
Montville,901148900,19635,299,3495030,178
Morris,900549460,2314,-842,157352,68
Naugatuck,900949950,31659,506,1298019,41
New Britain,900350440,72878,1056,11368968,156
New Canaan,900150580,20314,-3703,385966,19
New Fairfield,900150860,14149,-353,382023,27
New Hartford,900551350,6812,-110,388284,57
New Haven,900952070,130282,1101,51200826,393
New London,901152350,27374,896,8650184,316
New Milford,900552630,27474,-178,1593492,58
Newington,900352140,30685,94,3835625,125
Newtown,900152980,28152,-289,2449224,87
Norfolk,900553470,1655,-1006,372375,225
North Branford,900953890,14322,-67,658812,46
North Canaan,900554030,3214,-2,507812,158
North Haven,900954870,23909,-254,2199628,92
North Stonington,901155500,5288,-245,1142208,216
Norwalk,900156060,88145,-318,5024265,57
Norwich,901156270,40178,619,4580292,114
Old Lyme,901157040,7575,-1698,295425,39
Old Saybrook,900757320,10217,-1647,398463,39
Orange,900957600,13955,-247,544245,39
Oxford,900958300,12914,-142,581130,45
Plainfield,901559980,15135,410,696210,46
Plainville,900360120,17801,298,1014657,57
Plymouth,900560750,11914,361,536130,45
Pomfret,901561030,4179,172,267456,64
Portland,900761800,9444,92,396648,42
Preston,901162150,4748,59,1562092,329
Prospect,900962290,9723,14,388920,40
Putnam,901562710,9416,573,838024,89
Redding,900163480,9309,-1096,437523,47
Ridgefield,900163970,25205,-1350,1134225,45
Rocky Hill,900365370,20094,-32,1547238,77
Roxbury,900565930,2201,-2679,220100,100
Salem,901166210,4184,-75,234304,56
Salisbury,900566420,3665,-2531,227230,62
Scotland,901567400,1694,202,147378,87
Seymour,900967610,16537,331,859924,52
Sharon,900567960,2725,-1952,277950,102
Shelton,900168170,41295,-128,1486620,36
Sherman,900168310,3671,-1385,165195,45
Simsbury,900368940,23975,-211,647325,27
Somers,901369220,11303,257,3029204,268
South Windsor,900371390,25823,-105,1704318,66
Southbury,900969640,19881,-124,954288,48
Southington,900370550,43815,-3,1971675,45
Sprague,901171670,2980,332,372500,125
Stafford,901372090,11881,367,1164338,98
Stamford,900173070,128278,-643,7568402,59
Sterling,901573420,3773,315,222607,59
Stonington,901173770,18512,-875,573872,31
Stratford,900174190,52734,299,1951158,37
Suffield,900374540,15814,37,6199088,392
Thomaston,900575730,7683,284,307320,40
Thompson,901575870,9308,369,400244,43
Tolland,901376290,14872,86,461032,31
Torrington,900576570,35190,403,1653930,47
Trumbull,900177200,36578,-281,914450,25
Union,901377830,846,48,110826,131
Vernon,901378250,29098,503,1425802,49
Voluntown,901178600,2593,257,420066,162
Wallingford,900978740,45074,-58,1577590,35
Warren,900579510,1427,-1734,139846,98
Washington,900579720,3487,-3100,282447,81
Waterbury,900980070,109307,849,17270506,158
Waterford,901180280,19427,-1073,951923,49
Watertown,900580490,22046,69,661380,30
West Hartford,900382590,63324,250,2786256,44
West Haven,900982870,54905,750,7192555,131
Westbrook,900781680,6902,-1183,255374,37
Weston,900183430,10388,-1908,238924,23
Westport,900183500,27561,-3622,1405611,51
Wethersfield,900384900,26446,140,1163624,44
Willington,901385950,5934,206,284832,48
Wilton,900186370,18692,-1791,448608,24
Winchester,900586440,10929,256,502734,46
Windham,901586790,25005,771,5101020,204
Windsor,900387000,29069,107,813932,28
Windsor Locks,900387070,12565,-27,4988305,397
Wolcott,900987560,16716,79,534912,32
Woodbridge,900987700,8925,-467,276675,31
Woodbury,900587910,9719,-379,281851,29
